a, r, p, (r*a)%p, add ,sub, shift, even, neg, loop, fbr, sbr, tbr
32 5 53 1 4 12 8 3 0 6 1 2 3
33 45 53 1 7 20 15 6 0 11 3 3 5
34 39 53 1 8 19 20 8 0 13 4 4 5
35 50 53 1 1 8 3 1 0 3 1 0 2
36 28 53 1 4 13 14 5 0 8 1 4 3
37 43 53 1 5 15 15 6 0 10 3 3 4
38 7 53 1 8 23 15 6 0 12 3 3 6
39 34 53 1 6 21 16 6 0 11 4 2 5
40 4 53 1 5 11 10 4 0 7 2 2 3
41 22 53 1 9 20 20 8 0 13 4 4 5
42 24 53 1 11 15 20 8 0 12 4 4 4
43 37 53 1 9 18 20 8 0 12 4 4 4
44 47 53 1 3 13 10 4 0 7 2 2 3
45 33 53 1 8 18 18 7 0 12 3 4 5
46 15 53 1 9 23 20 8 0 14 4 4 6
47 44 53 1 2 9 9 3 0 5 3 0 2
48 21 53 1 7 18 18 7 0 11 3 4 4
49 13 53 1 3 15 11 4 0 7 3 1 3
50 35 53 1 5 14 20 8 0 11 4 4 3
51 26 53 1 5 20 20 8 0 12 4 4 4
52 52 53 1 0 4 0 0 0 1 0 0 1
2 30 59 1 5 17 20 8 0 12 4 4 4
3 20 59 1 1 9 16 6 0 8 2 4 2
4 15 59 1 5 21 20 8 0 13 4 4 5
5 12 59 1 1 9 11 4 0 6 1 3 2
6 10 59 1 1 9 13 5 0 7 2 3 2
7 17 59 1 3 11 18 7 0 9 4 3 2
8 37 59 1 6 24 20 8 0 14 4 4 6
9 46 59 1 2 15 13 5 0 8 3 2 3
10 6 59 1 1 9 8 3 0 5 1 2 2
11 43 59 1 5 22 20 8 0 13 4 4 5
12 5 59 1 1 9 10 4 0 6 2 2 2
13 50 59 1 2 9 13 5 0 7 3 2 2
14 38 59 1 5 15 20 8 0 11 4 4 3
15 4 59 1 0 4 6 2 0 3 0 2 1
16 48 59 1 4 14 13 5 0 9 2 3 4
17 7 59 1 1 14 8 3 0 6 2 1 3
18 23 59 1 6 18 18 7 0 11 3 4 4
19 28 59 1 5 19 20 8 0 12 4 4 4
20 3 59 1 1 9 5 2 0 4 1 1 2
21 45 59 1 7 13 15 6 0 10 3 3 4
22 51 59 1 7 19 15 6 0 11 3 3 5
23 18 59 1 5 12 16 6 0 9 2 4 3
24 32 59 1 3 16 20 8 0 12 4 4 4
25 26 59 1 5 23 20 8 0 14 4 4 6
26 25 59 1 8 15 20 8 0 12 4 4 4
27 35 59 1 8 19 20 8 0 13 4 4 5
28 19 59 1 7 17 20 8 0 12 4 4 4
